date,city,blood_bank,blood_group,units_available,thalassemia_units_required
2025-01-01,Bhopal,Red Cross Blood Bank,A+,17,6
2025-01-01,Bhopal,Red Cross Blood Bank,A-,27,3
2025-01-01,Bhopal,Red Cross Blood Bank,B+,76,0
2025-01-01,Bhopal,Red Cross Blood Bank,B-,7,8
2025-01-01,Bhopal,Red Cross Blood Bank,AB+,88,5
2025-01-01,Bhopal,Red Cross Blood Bank,AB-,21,3
2025-01-01,Bhopal,Red Cross Blood Bank,O+,32,1
2025-01-01,Bhopal,Red Cross Blood Bank,O-,6,1
2025-01-01,Bhopal,City Care Blood Bank,A+,20,3
2025-01-01,Bhopal,City Care Blood Bank,A-,26,8
2025-01-01,Bhopal,City Care Blood Bank,B+,37,2
2025-01-01,Bhopal,City Care Blood Bank,B-,10,1
2025-01-01,Bhopal,City Care Blood Bank,AB+,93,5
2025-01-01,Bhopal,City Care Blood Bank,AB-,7,7
2025-01-01,Bhopal,City Care Blood Bank,O+,117,9
2025-01-01,Bhopal,City Care Blood Bank,O-,15,4
2025-01-01,Bhopal,LifeLine Blood Center,A+,92,5
2025-01-01,Bhopal,LifeLine Blood Center,A-,28,0
2025-01-01,Bhopal,LifeLine Blood Center,B+,121,1
2025-01-01,Bhopal,LifeLine Blood Center,B-,6,2
2025-01-01,Bhopal,LifeLine Blood Center,AB+,20,10
2025-01-01,Bhopal,LifeLine Blood Center,AB-,13,4
2025-01-01,Bhopal,LifeLine Blood Center,O+,56,8
2025-01-01,Bhopal,LifeLine Blood Center,O-,16,0
2025-01-01,Bhopal,Hope Blood Bank,A+,122,7
2025-01-01,Bhopal,Hope Blood Bank,A-,28,4
2025-01-01,Bhopal,Hope Blood Bank,B+,16,8
2025-01-01,Bhopal,Hope Blood Bank,B-,12,4
2025-01-01,Bhopal,Hope Blood Bank,AB+,30,3
2025-01-01,Bhopal,Hope Blood Bank,AB-,3,0
2025-01-01,Bhopal,Hope Blood Bank,O+,28,8
2025-01-01,Bhopal,Hope Blood Bank,O-,3,10
2025-01-01,Bhopal,Metro Blood Bank,A+,92,9
2025-01-01,Bhopal,Metro Blood Bank,A-,13,7
2025-01-01,Bhopal,Metro Blood Bank,B+,108,1
2025-01-01,Bhopal,Metro Blood Bank,B-,10,7
2025-01-01,Bhopal,Metro Blood Bank,AB+,108,9
2025-01-01,Bhopal,Metro Blood Bank,AB-,15,10
2025-01-01,Bhopal,Metro Blood Bank,O+,103,3
2025-01-01,Bhopal,Metro Blood Bank,O-,18,6
2025-01-01,Indore,Red Cross Blood Bank,A+,96,5
2025-01-01,Indore,Red Cross Blood Bank,A-,10,0
2025-01-01,Indore,Red Cross Blood Bank,B+,27,2
2025-01-01,Indore,Red Cross Blood Bank,B-,20,3
2025-01-01,Indore,Red Cross Blood Bank,AB+,18,4
2025-01-01,Indore,Red Cross Blood Bank,AB-,10,2
2025-01-01,Indore,Red Cross Blood Bank,O+,116,8
2025-01-01,Indore,Red Cross Blood Bank,O-,16,0
2025-01-01,Indore,City Care Blood Bank,A+,69,4
2025-01-01,Indore,City Care Blood Bank,A-,12,8
2025-01-01,Indore,City Care Blood Bank,B+,112,6
2025-01-01,Indore,City Care Blood Bank,B-,33,0
2025-01-01,Indore,City Care Blood Bank,AB+,100,7
2025-01-01,Indore,City Care Blood Bank,AB-,22,7
2025-01-01,Indore,City Care Blood Bank,O+,44,7
2025-01-01,Indore,City Care Blood Bank,O-,24,1
2025-01-01,Indore,LifeLine Blood Center,A+,27,0
2025-01-01,Indore,LifeLine Blood Center,A-,7,10
2025-01-01,Indore,LifeLine Blood Center,B+,74,1
2025-01-01,Indore,LifeLine Blood Center,B-,24,5
2025-01-01,Indore,LifeLine Blood Center,AB+,15,4
2025-01-01,Indore,LifeLine Blood Center,AB-,12,6
2025-01-01,Indore,LifeLine Blood Center,O+,63,8
2025-01-01,Indore,LifeLine Blood Center,O-,21,9
2025-01-01,Indore,Hope Blood Bank,A+,84,1
2025-01-01,Indore,Hope Blood Bank,A-,19,6
2025-01-01,Indore,Hope Blood Bank,B+,16,5
2025-01-01,Indore,Hope Blood Bank,B-,13,7
2025-01-01,Indore,Hope Blood Bank,AB+,78,7
2025-01-01,Indore,Hope Blood Bank,AB-,4,7
2025-01-01,Indore,Hope Blood Bank,O+,111,10
2025-01-01,Indore,Hope Blood Bank,O-,13,2
2025-01-01,Indore,Metro Blood Bank,A+,68,9
2025-01-01,Indore,Metro Blood Bank,A-,28,0
2025-01-01,Indore,Metro Blood Bank,B+,58,0
2025-01-01,Indore,Metro Blood Bank,B-,6,1
2025-01-01,Indore,Metro Blood Bank,AB+,13,9
2025-01-01,Indore,Metro Blood Bank,AB-,12,4
2025-01-01,Indore,Metro Blood Bank,O+,99,4
2025-01-01,Indore,Metro Blood Bank,O-,24,8
2025-01-01,Jabalpur,Red Cross Blood Bank,A+,93,3
2025-01-01,Jabalpur,Red Cross Blood Bank,A-,22,8
2025-01-01,Jabalpur,Red Cross Blood Bank,B+,74,5
2025-01-01,Jabalpur,Red Cross Blood Bank,B-,11,3
2025-01-01,Jabalpur,Red Cross Blood Bank,AB+,68,10
2025-01-01,Jabalpur,Red Cross Blood Bank,AB-,1,7
2025-01-01,Jabalpur,Red Cross Blood Bank,O+,16,1
2025-01-01,Jabalpur,Red Cross Blood Bank,O-,13,2
2025-01-01,Jabalpur,City Care Blood Bank,A+,19,10
2025-01-01,Jabalpur,City Care Blood Bank,A-,19,8
2025-01-01,Jabalpur,City Care Blood Bank,B+,14,4
2025-01-01,Jabalpur,City Care Blood Bank,B-,24,6
2025-01-01,Jabalpur,City Care Blood Bank,AB+,56,3
2025-01-01,Jabalpur,City Care Blood Bank,AB-,12,9
2025-01-01,Jabalpur,City Care Blood Bank,O+,93,10
2025-01-01,Jabalpur,City Care Blood Bank,O-,4,10
2025-01-01,Jabalpur,LifeLine Blood Center,A+,75,8
2025-01-01,Jabalpur,LifeLine Blood Center,A-,8,1
2025-01-01,Jabalpur,LifeLine Blood Center,B+,76,6
2025-01-01,Jabalpur,LifeLine Blood Center,B-,24,10
2025-01-01,Jabalpur,LifeLine Blood Center,AB+,53,0
2025-01-01,Jabalpur,LifeLine Blood Center,AB-,5,2
2025-01-01,Jabalpur,LifeLine Blood Center,O+,93,5
2025-01-01,Jabalpur,LifeLine Blood Center,O-,8,6
